id,brand,model,category,price,cpu,cpu_cores,ram,gpu,gpu_vram,dedicated_gpu,cuda_support,weight,screen_size,screen_resolution,screen_quality_score
67,Asus,Asus Gaming,Gaming,609.19,Intel Core i7 7700HQ 2.8GHz,8,12,Nvidia GeForce GTX 1050 Ti,2,True,True,3.0,17.3,1920x1080,0.6
68,Microsoft,Microsoft Ultrabook,Ultrabook,699.06,Intel Core i5 7200U 2.5GHz,4,4,Intel HD Graphics 620,0,False,False,1.25,13.5,2256x1504,0.4
69,Dell,Dell Ultrabook,Ultrabook,613.04,Intel Core i7 8550U 1.8GHz,8,64,AMD Radeon 530,4,True,False,1.4,13.3,1920x1080,0.6
70,Dell,Dell Notebook,Notebook,558.48,Intel Core i7 8550U 1.8GHz,8,8,AMD Radeon 530,4,True,False,2.2,15.6,1920x1080,0.6
71,MSI,MSI Gaming,Gaming,702.91,Intel Core i5 7300HQ 2.5GHz,4,8,Nvidia GeForce GTX 1050,2,True,True,2.7,17.3,1920x1080,0.6
72,Acer,Acer Notebook,Notebook,249.71,Intel Core i3 6006U 2GHz,2,8,Intel HD Graphics 520,0,False,False,2.1,14.0,1366x768,0.4
73,Asus,Asus Gaming,Gaming,609.19,Intel Core i7 7700HQ 2.8GHz,8,8,Nvidia GeForce GTX 1050,2,True,True,2.2,15.6,1920x1080,0.6
74,Lenovo,Lenovo Notebook,Notebook,333.16,Intel Core i5 7200U 2.5GHz,4,8,Intel HD Graphics 620,0,False,False,2.2,15.6,1920x1080,0.6
75,Dell,Dell Notebook,Notebook,548.85,Intel Core i7 8550U 1.8GHz,8,8,Intel UHD Graphics 620,0,False,False,2.02,15.6,1920x1080,0.6
76,Acer,Acer Notebook,Notebook,340.22,Intel Core i3 7130U 2.7GHz,2,4,Nvidia GeForce MX130,4,True,True,2.2,15.6,1920x1080,0.6
77,HP,HP Notebook,Notebook,627.16,Intel Core i5 8250U 1.6GHz,4,8,Nvidia GeForce 930MX,4,True,True,2.5,17.3,1920x1080,0.6
78,Dell,Dell Ultrabook,Ultrabook,703.66,Intel Core i5 8250U 1.6GHz,4,8,Intel UHD Graphics 620,0,False,False,1.88,15.6,1920x1080,0.6
79,Apple,Apple Ultrabook,Ultrabook,969.31,Intel Core i5 1.3GHz,4,8,Intel HD Graphics 615,0,False,False,0.92,12.0,2304x1440,0.4
80,HP,HP Notebook,Notebook,552.06,Intel Core i5 8250U 1.6GHz,4,8,Intel HD Graphics 620,0,False,False,1.63,14.0,1920x1080,0.6
81,Lenovo,Lenovo Notebook,Notebook,256.13,AMD A6-Series 9220 2.5GHz,2,4,AMD R4 Graphics,4,True,False,2.2,15.6,1920x1080,0.6
82,Acer,Acer Notebook,Notebook,253.56,AMD A9-Series 9420 3GHz,2,4,AMD Radeon R5,0,False,False,2.1,15.6,1366x768,0.4
83,Dell,Dell Gaming,Gaming,865.96,Intel Core i7 7700HQ 2.8GHz,8,16,Nvidia GeForce GTX 1050 Ti,2,True,True,2.65,15.6,1920x1080,0.6
84,HP,HP Ultrabook,Ultrabook,448.71,Intel Core i7 8550U 1.8GHz,8,8,Nvidia GeForce GTX 940MX,4,True,True,1.83,15.6,1920x1080,0.6
85,HP,HP Notebook,Notebook,384.51,Intel Core i5 7200U 2.5GHz,4,8,Intel HD Graphics 620,0,False,False,1.96,15.6,1920x1080,0.6
86,Asus,Asus Gaming,Gaming,930.15,Intel Core i7 7700HQ 2.8GHz,8,16,Nvidia GeForce GTX 1060,4,True,True,2.2,15.6,1920x1080,0.6
87,Dell,Dell Ultrabook,Ultrabook,1058.54,Intel Core i7 8550U 1.8GHz,8,8,Intel UHD Graphics 620,0,False,False,1.21,13.3,1920x1080,0.6
88,Asus,Asus Gaming,Gaming,448.71,AMD FX 9830P 3GHz,2,8,AMD Radeon RX 560,4,True,False,2.45,15.6,1920x1080,0.6
89,Acer,Acer Notebook,Notebook,442.29,Intel Core i7 8550U 1.8GHz,8,2,Nvidia GeForce MX150,2,True,True,2.2,15.6,1920x1080,0.6
90,HP,HP Notebook,Notebook,768.39,Intel Core i7 8550U 1.8GHz,8,16,Intel UHD Graphics 620,0,False,False,1.49,13.3,1920x1080,0.6
91,Dell,Dell Gaming,Gaming,767.1,Intel Core i5 7300HQ 2.5GHz,4,8,Nvidia GeForce GTX 1060,4,True,True,2.65,15.6,1920x1080,0.6
92,Asus,Asus Ultrabook,Ultrabook,673.38,Intel Core i7 7500U 2.7GHz,8,8,Intel HD Graphics 620,0,False,False,1.25,14.0,1920x1080,0.6
93,Acer,Acer 2 in 1 Convertible,2 in 1 Convertible,543.71,Intel Core i5 8250U 1.6GHz,4,8,Intel UHD Graphics 620,0,False,False,1.5,13.3,1920x1080,0.6
94,Dell,Dell Notebook,Notebook,385.09,Intel Core i7 7500U 2.7GHz,8,8,AMD Radeon R5 M430,0,False,False,2.2,15.6,1920x1080,0.6
95,Dell,Dell Notebook,Notebook,311.33,Intel Core i3 6006U 2GHz,2,4,AMD Radeon R5 M430,0,False,False,2.2,15.6,1920x1080,0.6
96,Asus,Asus Notebook,Notebook,370.39,Intel Core i3 7100U 2.4GHz,2,6,Nvidia GeForce 920M,4,True,True,2.0,15.6,1920x1080,0.6
97,HP,HP Gaming,Gaming,801.77,Intel Core i7 7700HQ 2.8GHz,8,12,Nvidia GeForce GTX 1050,2,True,True,2.62,15.6,1920x1080,0.6
98,HP,HP Notebook,Notebook,461.55,Intel Core i7 7500U 2.7GHz,8,8,AMD Radeon 530,4,True,False,1.91,15.6,1920x1080,0.6
99,HP,HP Notebook,Notebook,224.03,AMD E-Series E2-9000e 1.5GHz,2,4,AMD Radeon R2,0,False,False,2.1,15.6,1920x1080,0.6
100,Dell,Dell Notebook,Notebook,415.33,Intel Core i5 8250U 1.6GHz,4,8,AMD Radeon 520,4,True,False,2.2,15.6,1920x1080,0.6
101,HP,HP Ultrabook,Ultrabook,718.32,Intel Core i7 7500U 2.7GHz,8,8,Nvidia GeForce MX150,2,True,True,1.38,13.3,1920x1080,0.6
102,Microsoft,Microsoft Ultrabook,Ultrabook,860.18,Intel Core i5 7200U 2.5GHz,4,8,Intel HD Graphics 620,0,False,False,1.25,13.5,2256x1504,0.4
103,HP,HP Notebook,Notebook,423.03,Intel Core i5 7200U 2.5GHz,4,6,Nvidia GeForce 940MX,4,True,True,1.58,14.0,1920x1080,0.6
104,Lenovo,Lenovo Notebook,Notebook,266.34,Intel Core i3 6006U 2GHz,2,4,Intel HD Graphics 520,0,False,False,1.85,15.6,1920x1080,0.6
105,Asus,Asus Ultrabook,Ultrabook,765.82,Intel Core i7 7500U 2.7GHz,8,8,Nvidia GeForce 940MX,4,True,True,1.3,14.0,1920x1080,0.6
106,MSI,MSI Gaming,Gaming,833.86,Intel Core i7 7700HQ 2.8GHz,8,16,Nvidia GeForce GTX 1050 Ti,2,True,True,2.2,15.6,1920x1080,0.6
107,Lenovo,Lenovo Notebook,Notebook,950.05,Intel Core i7 7500U 2.7GHz,8,8,Intel HD Graphics 620,0,False,False,1.58,14.0,1920x1080,0.6
108,Asus,Asus Ultrabook,Ultrabook,810.11,Intel Core i7 8550U 1.8GHz,8,16,Nvidia GeForce MX150,2,True,True,1.5,15.6,1920x1080,0.6
109,Dell,Dell Ultrabook,Ultrabook,885.22,Intel Core i7 7560U 2.4GHz,8,8,Intel Iris Plus Graphics 640,0,False,False,1.23,13.3,3200x1800,0.4
110,Lenovo,Lenovo 2 in 1 Convertible,2 in 1 Convertible,898.06,Intel Core i5 7200U 2.5GHz,4,8,Intel HD Graphics 620,0,False,False,1.37,13.3,1920x1080,0.6
111,HP,HP Notebook,Notebook,463.47,Intel Core i5 8250U 1.6GHz,4,4,Intel UHD Graphics 620,0,False,False,1.63,14.0,1366x768,0.4
112,Dell,Dell Ultrabook,Ultrabook,1045.7,Intel Core i5 8250U 1.6GHz,4,8,Intel UHD Graphics 620,0,False,False,1.21,13.3,1920x1080,0.6
113,HP,HP Notebook,Notebook,695.85,Intel Core i7 8550U 1.8GHz,8,8,Intel UHD Graphics 620,0,False,False,1.63,14.0,1920x1080,0.6
114,Dell,Dell Notebook,Notebook,725.59,Intel Core i7 8550U 1.8GHz,8,8,Nvidia GeForce 940MX,4,True,True,2.16,15.6,1920x1080,0.6
115,Asus,Asus Notebook,Notebook,362.05,Intel Core i3 6006U 2GHz,2,4,Nvidia GeForce 920MX,4,True,True,2.0,17.3,1920x1080,0.6
116,Asus,Asus Notebook,Notebook,717.68,Intel Core i7 8550U 1.8GHz,8,8,Nvidia GeForce 940MX,4,True,True,1.7,15.6,1920x1080,0.6
117,Acer,Acer Notebook,Notebook,307.48,Intel Core i3 7100U 2.4GHz,2,6,Intel HD Graphics 620,0,False,False,2.1,15.6,1920x1080,0.6
118,MSI,MSI Gaming,Gaming,1438.88,Intel Core i7 7700HQ 2.8GHz,8,16,Nvidia GeForce GTX 1070,6,True,True,1.8,15.6,1920x1080,0.6
119,Lenovo,Lenovo Notebook,Notebook,403.77,Intel Core i5 7200U 2.5GHz,4,8,Nvidia GeForce 940MX,4,True,True,2.2,15.6,1920x1080,0.6
120,HP,HP Notebook,Notebook,815.89,Intel Core i7 8550U 1.8GHz,8,16,Nvidia GeForce 930MX ,4,True,True,2.5,17.3,1920x1080,0.6
121,Acer,Acer Notebook,Notebook,289.51,AMD A9-Series 9420 3GHz,2,4,AMD Radeon R5,0,False,False,2.1,15.6,1366x768,0.4
122,HP,HP Notebook,Notebook,521.25,Intel Core i5 8250U 1.6GHz,4,8,Intel UHD Graphics 620,0,False,False,1.63,14.0,1920x1080,0.6
123,Asus,Asus Notebook,Notebook,178.45,AMD E-Series 6110 1.5GHz,2,4,AMD Radeon R2,0,False,False,1.65,14.0,1366x768,0.4
124,Dell,Dell Notebook,Notebook,896.13,Intel Core i7 8550U 1.8GHz,8,16,AMD Radeon 530,4,True,False,2.8,17.3,1920x1080,0.6
125,HP,HP Notebook,Notebook,595.71,Intel Core i5 8250U 1.6GHz,4,8,Intel UHD Graphics 620,0,False,False,2.5,17.3,1920x1080,0.6
126,Dell,Dell Notebook,Notebook,410.19,Intel Core i5 7200U 2.5GHz,4,8,AMD Radeon R7 M445,0,False,False,2.36,15.6,1366x768,0.4
127,Dell,Dell Notebook,Notebook,288.23,Intel Core i3 6006U 2GHz,2,4,AMD Radeon R5 M430,0,False,False,2.2,15.6,1920x1080,0.6
128,Acer,Acer Ultrabook,Ultrabook,567.46,Intel Core i7 8550U 1.8GHz,8,8,Intel UHD Graphics 620,0,False,False,1.6,14.0,1920x1080,0.6
129,Acer,Acer Notebook,Notebook,367.18,Intel Core i3 7130U 2.7GHz,2,4,Nvidia GeForce MX130,4,True,True,7.2,15.6,1920x1080,0.6
130,HP,HP Notebook,Notebook,383.87,Intel Core i7 7500U 2.7GHz,8,8,Intel HD Graphics 620,0,False,False,2.05,15.6,1366x768,0.4
131,HP,HP Notebook,Notebook,634.22,Intel Core i7 8550U 1.8GHz,8,8,Intel UHD Graphics 620,0,False,False,1.63,14.0,1920x1080,0.6
132,Lenovo,Lenovo Notebook,Notebook,162.0,Intel Celeron Dual Core N3350 1.1GHz,2,4,Intel HD Graphics 500,0,False,False,1.9,15.6,1366x768,0.4
133,Asus,Asus Gaming,Gaming,602.13,Intel Core i5 7300HQ 2.5GHz,4,8,Nvidia GeForce GTX 1050,2,True,True,3.0,17.3,1920x1080,0.6
134,Lenovo,Lenovo Notebook,Notebook,320.32,Intel Core i5 7200U 2.5GHz,4,4,Nvidia GeForce 920MX,4,True,True,2.2,15.6,1920x1080,0.6
135,HP,HP Notebook,Notebook,448.71,Intel Core i5 7200U 2.5GHz,4,4,Intel HD Graphics 620,0,False,False,1.32,13.3,1920x1080,0.6
136,Acer,Acer Notebook,Notebook,420.46,Intel Core i3 7130U 2.7GHz,2,4,Nvidia GeForce MX130,4,True,True,3.0,17.3,1920x1080,0.6
137,Lenovo,Lenovo Notebook,Notebook,716.4,Intel Core i5 8250U 1.6GHz,4,8,AMD Radeon RX 550,4,True,False,1.75,14.0,1920x1080,0.6
138,Lenovo,Lenovo Gaming,Gaming,557.84,Intel Core i7 7700HQ 2.8GHz,8,8,Nvidia GeForce GTX 1050M,2,True,True,2.4,15.6,1920x1080,0.6
139,Toshiba,Toshiba Notebook,Notebook,386.44,Intel Core i5 6200U 2.3GHz,4,4,Intel HD Graphics 520,0,False,False,2.1,15.6,1366x768,0.4
140,HP,HP Notebook,Notebook,236.87,AMD A6-Series 9220 2.5GHz,2,4,AMD Radeon R4 Graphics,0,False,False,1.86,15.6,1366x768,0.4
141,Asus,Asus Ultrabook,Ultrabook,705.48,Intel Core i7 8550U 1.8GHz,8,8,Intel UHD Graphics 620,0,False,False,1.25,14.0,1920x1080,0.6
142,HP,HP Ultrabook,Ultrabook,1292.84,Intel Core M 6Y75 1.2GHz,2,8,Intel HD Graphics 515,0,False,False,0.97,12.5,3840x2160,1.0
143,Asus,Asus Notebook,Notebook,220.82,Intel Celeron Dual Core N3350 1.1GHz,2,4,Intel HD Graphics 500,0,False,False,2.0,15.6,1920x1080,0.6
144,Acer,Acer Notebook,Notebook,286.94,Intel Core i3 6006U 2GHz,2,4,Intel HD Graphics 520,0,False,False,2.1,15.6,1366x768,0.4
145,Dell,Dell Gaming,Gaming,801.93,Intel Core i7 7700HQ 2.8GHz,8,16,Nvidia GeForce GTX 1050,2,True,True,2.56,15.6,1920x1080,0.6
146,Dell,Dell Gaming,Gaming,577.09,Intel Core i7 7700HQ 2.8GHz,8,8,Nvidia GeForce GTX 1050,2,True,True,2.62,15.6,1920x1080,0.6
147,Lenovo,Lenovo Notebook,Notebook,319.68,Intel Core i5 7200U 2.5GHz,4,4,Intel HD Graphics 620,0,False,False,1.9,15.6,1366x768,0.4
148,MSI,MSI Gaming,Gaming,1213.24,Intel Core i7 7700HQ 2.8GHz,8,16,Nvidia GeForce GTX 1060,4,True,True,2.8,17.3,1920x1080,0.6
149,HP,HP Ultrabook,Ultrabook,694.57,Intel Core i5 7500U 2.7GHz,4,4,Intel HD Graphics 620,0,False,False,1.48,14.0,1920x1080,0.6
150,HP,HP Notebook,Notebook,397.35,Intel Core i5 8250U 1.6GHz,4,6,AMD Radeon 520,4,True,False,1.91,15.6,1920x1080,0.6
151,Lenovo,Lenovo 2 in 1 Convertible,2 in 1 Convertible,403.77,Intel Core i3 7100U 2.4GHz,2,4,Intel HD Graphics 620,0,False,False,1.74,14.0,1920x1080,0.6
152,Asus,Asus 2 in 1 Convertible,2 in 1 Convertible,844.13,Intel Core i5 8250U 1.6GHz,4,8,Intel HD Graphics 620,0,False,False,1.1,13.3,1920x1080,0.6
153,Dell,Dell 2 in 1 Convertible,2 in 1 Convertible,673.38,Intel Core i7 8550U 1.8GHz,8,8,Intel UHD Graphics 620,0,False,False,1.56,15.6,1920x1080,0.6
154,Toshiba,Toshiba Notebook,Notebook,286.94,Intel Core i3 6006U 2.2GHz,2,4,Intel HD Graphics 520,0,False,False,2.1,15.6,1366x768,0.4
155,Asus,Asus Notebook,Notebook,258.7,AMD A9-Series 9420 3GHz,2,4,AMD Radeon R5 M420,0,False,False,2.03,15.6,1366x768,0.4
156,Acer,Acer Notebook,Notebook,516.75,Intel Core i5 8250U 1.6GHz,4,4,Nvidia GeForce MX150,2,True,True,3.0,17.3,1920x1080,0.6
157,Dell,Dell Notebook,Notebook,467.32,Intel Core i5 8250U 1.6GHz,4,8,AMD Radeon 520,4,True,False,2.13,15.6,1920x1080,0.6
158,Lenovo,Lenovo Gaming,Gaming,692.64,Intel Core i7 7700HQ 2.8GHz,8,16,Nvidia GeForce GTX 1050 Ti,2,True,True,2.5,15.6,1920x1080,0.6
159,Acer,Acer Notebook,Notebook,223.39,Intel Celeron Dual Core N3350 1.1GHz,2,4,Intel HD Graphics 500,0,False,False,2.1,15.6,1366x768,0.4
160,MSI,MSI Gaming,Gaming,1154.83,Intel Core i7 7700HQ 2.8GHz,8,16,Nvidia GeForce GTX 1060,4,True,True,2.4,15.6,1920x1080,0.6
161,Acer,Acer Notebook,Notebook,233.35,Intel Pentium Quad Core N4200 1.1GHz,2,4,Intel HD Graphics 505,0,False,False,2.1,15.6,1366x768,0.4
162,Dell,Dell Gaming,Gaming,680.76,Intel Core i7 7700HQ 2.8GHz,8,8,Nvidia GeForce GTX 1050,2,True,True,2.56,15.6,1920x1080,0.6
163,Acer,Acer Notebook,Notebook,548.21,Intel Core i5 8250U 1.6GHz,4,8,Nvidia GeForce MX150,2,True,True,3.0,17.3,1920x1080,0.6
164,HP,HP Notebook,Notebook,484.01,Intel Core i5 8250U 1.6GHz,4,4,Intel UHD Graphics 620,0,False,False,1.49,13.3,1920x1080,0.6
